PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,Label
2095.0283,-657.0067,-1989.0542,-1718.575,929.0785,153.27124,-2942.455,179.5203,0
2003.1127,4264.4253,-1933.8486,628.5818,-215.99005,-1220.0221,1627.7621,223.29744,0
3290.2534,1477.3207,-3101.3188,1448.6783,-689.8294,356.7094,-979.1786,-79.83819,0
-1726.6023,-493.77612,613.19037,1036.9688,870.1019,-83.58918,-1060.4244,1342.2083,0
-1070.3358,531.2284,-457.38037,-1083.4165,917.9785,313.2599,-1790.4271,596.42865,0
-1914.7532,1718.0797,-699.8441,359.4203,-589.9027,-1821.0352,1570.6807,-628.66486,0
-150.3186,-1982.7687,-1102.1206,330.13077,170.63704,7.101811,1356.023,318.45422,0
-1712.2,-975.2033,-366.5083,1160.0708,345.8573,845.9356,491.05203,-607.1999,0
-892.92126,1824.22,459.06094,-1646.9794,-247.10912,748.066,171.19225,-1261.6543,0
3148.1,-1189.8307,-422.699,1831.1198,-2854.356,1736.4741,-197.62373,736.882,0
2845.622,186.30278,-1517.1395,-785.116,195.10153,1072.7386,508.20416,-645.68555,0
1494.8768,2414.058,1604.9473,1973.9275,428.51862,613.34955,654.9796,189.69844,0
-1293.0057,844.24475,-834.91565,205.52792,-1216.4387,-975.0883,386.89838,-341.1807,0
1095.44,936.7581,1421.8799,826.9189,987.11664,373.91577,884.85925,-1078.4589,0
1104.911,3155.5852,-320.13483,32.968346,-785.66705,741.8768,1172.1622,183.25894,0
-481.9157,3143.2007,3068.7703,533.69403,1832.883,27.614971,1835.4187,597.9081,0
-1749.2734,2252.1985,-645.81165,-827.8717,-1184.2883,-923.3179,999.16864,124.77945,0
453.42633,-2183.6968,-311.28516,-199.38638,913.29877,1465.3251,662.6822,-433.65848,0
-2422.8765,798.4878,1048.7458,877.76764,1090.9246,-1156.446,-483.91077,854.806,0
-1243.7589,3205.4604,259.13058,-605.14124,473.53665,-497.69165,2027.6595,202.23575,0
-1307.9125,926.59644,1766.4102,969.83026,582.2136,-705.88257,270.36362,734.6052,0
1600.5612,3293.1284,-115.381905,-10.01567,-694.5776,1305.685,285.95984,-373.7125,0
802.82166,2948.5212,-1556.7021,612.6925,-1231.5173,-857.9236,1512.5027,1235.379,0
564.4856,2398.756,186.66106,-2572.4524,255.09666,512.68744,852.0414,-1365.8969,0
-1005.2974,2763.907,1730.2635,-1198.9423,990.2221,205.92531,1467.7507,-133.4434,0
581.68396,1780.9784,1108.374,1633.6194,-969.0657,651.523,757.6249,276.31653,0
1256.3306,1229.7947,851.2324,1900.5037,-778.3093,1402.7411,923.9237,612.4923,0
408.78662,-1017.0924,28.64216,1312.2095,-701.64044,-51.81241,510.85736,353.83475,0
-531.45996,2761.1404,2317.4287,-305.10696,1861.7155,586.0923,1578.2946,-213.12685,0
-761.5756,633.65155,-809.06,-360.49423,279.6013,1043.8551,1535.244,146.30331,0
317.37186,2244.572,-690.47327,-1911.8535,560.045,95.5619,1562.437,251.3162,0
-2785.3367,1224.601,448.46408,969.0047,-668.5366,-1502.0461,1646.4891,-722.5007,0
-1649.568,-816.3868,-141.74866,1538.3314,-244.37259,-957.1226,-478.88727,1.9009548,0
1503.2544,-1016.7492,-1069.7964,-460.73465,294.11426,369.03094,-1297.5491,887.0528,0
817.59424,3014.7825,1165.2617,636.671,-1422.8059,1751.3865,1091.4224,-276.76932,0
-804.76434,803.99817,72.23686,-386.2011,-620.6011,-278.0373,736.1038,-833.5169,0
-1093.8455,918.2664,-1168.6969,-625.2096,165.42238,-453.14993,-331.96582,1547.8457,0
-1612.0198,-2070.249,-252.6284,1299.9529,1295.4994,236.94926,-691.289,1046.8579,0
-1397.96,1917.8201,1451.6028,-1241.3364,1950.1967,146.14684,843.221,745.57513,0
1651.746,-1019.0405,207.04617,1967.5857,1457.5762,1834.8331,-1964.4121,310.96967,0
-419.16437,-312.88562,409.31317,788.36383,96.965904,-148.62819,-946.5825,842.69574,0
-717.2515,161.31567,-305.1957,1000.02106,-1893.2911,-1297.5557,-648.92175,56.59514,0
877.3749,-13.514669,-3451.673,472.25015,-485.35443,-1664.2762,-1315.3944,-230.3549,0
-1044.9545,-2181.37,-854.7526,1276.0587,-153.91933,-512.56586,-1180.7325,488.38882,0
-107.289474,-1761.6487,-1570.3964,-1298.3256,331.8242,1730.8687,554.2954,1060.5085,0
1514.6489,3413.9668,-1539.8733,-2225.9756,1739.6423,-990.14923,1066.2902,-429.7631,0
-1972.7694,1776.7397,-1362.1807,288.45633,-94.89937,-1812.8809,1174.7065,230.69595,0
-1010.2793,2417.4973,229.45287,-812.6112,8.560533,107.5848,1708.3629,-15.075213,0
-2130.578,1768.6659,-310.27094,0.33736825,-641.32806,-1116.7115,424.7329,249.73268,0
-2279.6594,88.75733,2134.4026,1880.6403,-8.541693,-949.0889,-854.0624,1122.1497,0
1279.5642,3811.748,-1545.4489,738.0001,-757.08356,-667.3475,2972.4958,1434.0837,0
1696.3828,4240.414,-1773.5977,-511.00073,160.86636,-1079.0486,2139.256,478.01154,0
2264.8606,1051.4099,-4163.1147,2079.9966,-2389.3042,-245.02644,-200.28273,1373.532,0
-1644.7114,1169.5675,374.41037,-1588.0117,298.88672,-427.55356,-732.4568,1239.727,0
-565.0337,1227.4004,1021.2453,-2091.074,-1121.3975,1500.9846,-425.1378,-453.63266,0
-740.11053,2545.199,-1269.7034,-2947.0774,1266.0144,-651.5409,1360.2838,1460.6932,0
-962.7411,2022.1246,-1937.2738,-2793.9368,1603.3033,-1062.7526,-946.61053,830.6321,0
-1734.7764,-2375.2183,-303.9137,1696.5547,-376.4393,-477.98575,41.12148,-394.72897,0
-3233.4065,-329.98642,785.07874,-205.57129,619.0089,-2267.4512,-2241.633,479.787,0
81.84837,2566.8118,-28.30457,1817.1287,-3028.0012,740.0839,2189.5955,1351.2566,0
-2481.087,1486.0094,1022.96124,628.2415,-209.82724,-1296.252,509.90057,748.3343,0
-922.8042,-1252.3204,-741.16455,1101.842,373.15564,-223.61053,-1321.7524,2004.5339,0
-2272.257,1471.289,1057.9982,2173.2686,354.69632,-1239.2358,773.30646,-165.07127,0
-1485.6986,1129.1942,-125.11369,-211.13834,-973.07,-1462.2885,1253.2383,-436.0714,0
2191.5803,-951.9692,1265.8926,2827.3367,366.98993,2448.242,688.0843,-79.18066,0
-54.544266,1564.636,-1406.4489,-915.47906,726.59357,-695.70667,-212.22975,-39.68405,0
-1585.3015,279.37112,704.69214,1230.9426,452.77826,-2077.5354,-447.81885,1100.0425,0
2163.6724,-295.29297,-1561.8303,1367.6536,-2595.2046,374.67584,2619.5425,2613.1016,0
1708.201,313.1061,-1746.2217,2289.054,-1146.5332,1806.7063,149.18959,1318.2467,0
